,Start,End
0,2018-10-17 17:01:49.394893,2018-10-17 17:01:58.626421
1,2018-10-17 17:02:00.194511,2018-10-17 17:02:00.530530
2,2018-10-17 17:02:01.026559,2018-10-17 17:02:35.045504
3,2018-10-17 17:02:38.433698,2018-10-17 17:02:39.020732
4,2018-10-17 17:02:40.689827,2018-10-17 17:02:40.972843
5,2018-10-17 17:02:41.585878,2018-10-17 17:02:43.089965
6,2018-10-17 17:02:43.370981,2018-10-17 17:02:43.537990
7,2018-10-17 17:02:44.289033,2018-10-17 17:02:44.577050
8,2018-10-17 17:02:45.633110,2018-10-17 17:02:48.338265
9,2018-10-17 17:02:49.821350,2018-10-17 17:02:49.985359
10,2018-10-17 17:02:55.984702,2018-10-17 17:02:56.576736
11,2018-10-17 17:02:57.937814,2018-10-17 17:02:58.525847
12,2018-10-17 17:02:59.893926,2018-10-17 17:03:00.337951
13,2018-10-17 17:03:00.928985,2018-10-17 17:03:01.230002
14,2018-10-17 17:03:18.032963,2018-10-17 17:03:19.985075
